testing_results_unparsed
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Neurosurgery Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: General Medicine Probability: 0.80', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Consult - History and Phy. Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Radiology Probability: 0.80', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.80', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurology Probability: 0.65', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Nephrology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Cardiovascular / Pulmonary Probability: 0.90', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: SOAP / Chart / Progress Notes Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Ophthalmology\nProbability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.90', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Orthopedic Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Office Notes Probability: 0.75')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: General Medicine Probability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Urology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Gastroenterology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Consult - History and Phy. Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: ENT - Otolaryngology Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Surgery\nProbability: 0.75')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Ophthalmology Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Radiology Probability: 0.90')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: ENT - Otolaryngology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: General Medicine Probability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: SOAP / Chart / Progress Notes Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: General Medicine Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Radiology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Cardiovascular / Pulmonary Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Orthopedic Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Obstetrics / Gynecology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Obstetrics / Gynecology Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Obstetrics / Gynecology Probability: 0.90', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: ENT - Otolaryngology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Orthopedic Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Office Notes Probability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Surgery\nProbability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Radiology\nProbability: 0.80', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Ophthalmology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Cardiovascular / Pulmonary Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Radiology Probability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: General Medicine Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Cardiovascular / Pulmonary\nProbability: 0.75')"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Surgery Probability: 0.85')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Obstetrics / Gynecology Probability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: ENT - Otolaryngology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Orthopedic Probability: 0.65', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurosurgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Ophthalmology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Orthopedic Probability: 0.90', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Surgery\nProbability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Surgery Probability: 0.50', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Neurosurgery\nProbability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurology Probability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Urology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurosurgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Urology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Orthopedic Probability: 0.85')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Radiology\nProbability: 0.80', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Obstetrics / Gynecology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Surgery\nProbability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Cardiovascular / Pulmonary Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Neurology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='</think>\n Guess: Gastroenterology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Radiology Probability: 0.80', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurosurgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Cardiovascular / Pulmonary Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery\nProbability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Consult - History and Phy.\nProbability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Obstetrics / Gynecology Probability: 0.90', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Orthopedic\nProbability: 0.95')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: ENT - Otolaryngology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Urology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurosurgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Orthopedic Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: General Medicine Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='</think>\nGuess: Neurosurgery  \nProbability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Cardiovascular / Pulmonary Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Urology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Orthopedic Probability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurosurgery Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery\nProbability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Soap / Chart / Progress Notes\nProbability: 0.60', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Orthopedic Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Gastroenterology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Cardiovascular / Pulmonary\nProbability: 0.85')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery\nProbability: 0.90', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Urology Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Ophthalmology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: SOAP / Chart / Progress Notes Probability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.80', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Gastroenterology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Orthopedic Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Urology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Surgery Probability: 0.85')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Radiology Probability: 0.80', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurosurgery Probability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Urology Probability: 0.90', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Gastroenterology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Obstetrics / Gynecology Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
